testimony_id,interviewee_year_of_birth
HVT-4450,1920
HVT-4451,1923
HVT-4452,1925
HVT-4453,1921
HVT-4454,1924
HVT-4455,1930
HVT-4456,
HVT-4457,1920
HVT-4458,1923
HVT-4459,
HVT-4460,1930
HVT-4461,1914
HVT-4462,1928
HVT-4463,1930
HVT-4464,1937
HVT-4465,1933
HVT-4466,1925
