testimony_id,interviewee_year_of_birth
HVT-1284,1921
HVT-1285,1921
HVT-1286,1925
HVT-1287,1917
HVT-1288,1927
HVT-1289,1898
HVT-1290,1923
HVT-1291,1920
HVT-1292,1921
HVT-1293,1905
HVT-1294,1911
HVT-1295,1920
HVT-1296,1928
HVT-1297,1926
HVT-1298,1922
HVT-1299,1920
HVT-1300,1924
HVT-1301,1919
HVT-1302,1933
HVT-1303,1929
HVT-1304,1924
HVT-1305,1914
HVT-1306,
HVT-1307,1931
HVT-1308,1931
HVT-1309,1928
HVT-1310,1921
HVT-1312,1929
HVT-1313,1906
HVT-1315,1937
HVT-1316,1915
HVT-1317,1928
HVT-1318,1906
HVT-1319,1924
HVT-1320,1915
HVT-1321,1922
HVT-1322,1919
HVT-1323,
HVT-1324,1927
HVT-1325,1929
HVT-1326,
HVT-1327,1919
HVT-1328,1938
HVT-1329,1933
HVT-1330,1925
HVT-1331,1928
HVT-1332,1920
HVT-1333,1937
HVT-1334,1912
HVT-1335,1929
HVT-1336,1923
HVT-1337,1923
HVT-1338,1919
HVT-1339,1921
HVT-1340,1928
HVT-1341,1927
HVT-1342,1922
HVT-1343,1909
HVT-1344,1920
HVT-1345,1926
HVT-1346,1921
HVT-1347,1904
HVT-1348,1919
HVT-1349,1928
HVT-1350,1924
HVT-1351,1924
HVT-1352,1923
HVT-1353,1918
HVT-1354,1931
HVT-1355,1914
HVT-1356,1922
HVT-1357,1922
HVT-1358,1920
HVT-1359,1928
HVT-1360,1919
HVT-1361,1925
HVT-1362,
HVT-1363,
HVT-1364,1927
HVT-1365,1931
HVT-1366,1922
HVT-1367,
HVT-1368,1915
HVT-1369,1928
HVT-1370,1926
HVT-1371,1924
HVT-1372,1913
HVT-1373,1927
HVT-1374,1926
HVT-1375,1927
HVT-1376,1922
HVT-1377,1929
HVT-1378,1922
HVT-1379,1926
HVT-1380,1924
HVT-1381,1922
HVT-1382,1926
HVT-1383,1922
HVT-1384,1924
HVT-1385,1919
HVT-1386,1921
HVT-1387,1929
HVT-1388,1923
HVT-1389,1921
HVT-1391,1925
HVT-1392,1925
HVT-1393,1925
HVT-1394,1925
HVT-1395,1918
HVT-1396,1910
HVT-1397,1917
HVT-1398,1922
HVT-1399,1914
HVT-1400,1918
HVT-1401,1930
HVT-1402,1913
HVT-1403,1927
HVT-1404,1924
HVT-1405,1926
HVT-1406,1921
HVT-1407,1914
HVT-1408,1896
HVT-1409,1930
HVT-1410,1925
HVT-1411,1922
HVT-1412,1927
HVT-1413,1925
HVT-1414,1924
HVT-1415,1923
HVT-1416,1923
HVT-1417,1923
HVT-1418,1920
HVT-1419,1916
HVT-1420,1924
HVT-1421,1924
HVT-1422,1914
HVT-1423,1919
HVT-1424,1907
HVT-1425,
HVT-1426,1925
HVT-1427,1921
HVT-1428,1918
HVT-1429,1914
HVT-1430,1928
HVT-1431,1926
HVT-1432,1926
HVT-1433,1911
HVT-1434,1934
HVT-1435,1921
HVT-1436,1904
HVT-1437,1908
HVT-1438,1928
HVT-1439,1924
HVT-1440,
HVT-1441,1929
HVT-1442,1922
HVT-1443,1922
HVT-1444,1918
HVT-1445,1934
HVT-1446,1912
HVT-1447,1919
HVT-1448,1926
HVT-1449,1924
HVT-1450,1925
HVT-1451,1908
HVT-1452,1922
HVT-1453,1927
HVT-1454,1925
HVT-1455,1923
HVT-1456,1925
HVT-1457,1914
HVT-1458,1915
HVT-1459,1919
HVT-1460,
HVT-1461,1926
HVT-1462,1925
HVT-1463,1920
HVT-1464,1924
HVT-1465,1920
HVT-1466,1915
HVT-1467,1914
HVT-1468,1928
HVT-1469,1920
HVT-1470,1922
HVT-1471,1931
HVT-1472,1924
HVT-1473,1922
HVT-1474,
HVT-1475,1927
HVT-1477,1929
HVT-1478,1923
HVT-1479,1911
HVT-1480,1909
HVT-1481,1923
HVT-1482,1922
HVT-1483,1919
HVT-1485,1917
HVT-1486,1916
HVT-1487,1932
HVT-1488,1933
HVT-1489,1931
HVT-1490,1937
HVT-1491,1920
HVT-1492,1921
HVT-1493,1928
HVT-1494,1923
HVT-1495,1912
HVT-1496,1927
HVT-1497,1922
HVT-1498,1925
HVT-1499,1915
HVT-1500,1917
HVT-1501,1921
HVT-1502,1923
HVT-1503,1923
HVT-1504,
HVT-1505,1928
HVT-1506,1908
HVT-1507,
HVT-1508,1912
HVT-1510,1927
HVT-1511,1923
HVT-1512,1904
HVT-1513,1924
HVT-1514,1909
HVT-1515,1930
HVT-1516,1913
HVT-1517,1926
HVT-1518,1927
HVT-1519,1924
HVT-1520,1923
HVT-1521,1901
HVT-1523,1930
HVT-1524,1903
HVT-1525,1918
HVT-1526,1924
HVT-1527,1931
HVT-1528,1913
HVT-1529,1919
HVT-1530,1915
HVT-1531,1925
HVT-1532,1926
HVT-1533,1925
HVT-1534,1921
HVT-1535,1923
HVT-1536,1925
HVT-1537,1938
HVT-1538,1926
HVT-1539,1920
HVT-1540,
HVT-1541,1913
HVT-1542,1930
HVT-1543,1926
HVT-1544,1920
HVT-1545,1929
HVT-1546,1921
HVT-1547,1921
HVT-1548,1922
HVT-1549,1925
HVT-1550,1929
HVT-1551,1927
HVT-1552,1918
HVT-1553,1922
HVT-1554,1935
HVT-1555,1913
HVT-1556,1919
HVT-1557,1919
HVT-1558,1917
HVT-1559,1926
HVT-1560,
HVT-1561,1926
HVT-1562,1919
HVT-1563,1921
HVT-1564,1924
HVT-1565,1925
HVT-1566,1925
